products_produced,p1_produced,p2_produced,p3_produced,inspector1_blocked_time,inspector2_blocked_time,buffer1_average_size,buffer2_average_size,buffer3_average_size,buffer4_average_size,buffer5_average_size,wk1_busy,wk2_busy,wk3_busy,products_produced
87,78,7,2,0,720.664031993967,0.10239218969573259,0.03705174390059305,1.7499640137370613,0.1031142195267863,0.9068640091444125,378.96312821663116,41.65338365739942,12.011734776272803,87
99,89,3,7,0,768.0999698430749,0.16202304859414712,0.8350068356113591,0.0,0.00632664813199122,1.9516385490593868,454.256834527524,6.691750183453834,39.4274094758014,99
92,81,8,3,0,674.7451853163126,0.1399474153233361,0.04477046287581076,1.0704705657873517,0.03136883936171887,1.6355607471336915,421.72910127303896,118.92856294034776,61.61793719889995,92
87,79,7,1,0,849.4855410850524,0.06129528411522957,0.1728787870755296,0.9647226176466125,0.0,1.9042230964207245,265.1839827116444,47.8336567596546,18.712240514949826,87
97,80,11,6,0,646.6795637011206,0.16644302360223076,0.1119098231733758,1.0341453194089547,0.012658661961494204,1.453805326820898,441.04305694968275,76.2121971232655,64.89828910051688,97
100,80,12,8,0,644.2643353721394,0.1662715367769685,0.39862382785087813,0.5713104808871288,0.023397003510835405,1.7408338640372114,360.86717311318307,131.62532374806392,40.144201375726674,100
100,89,5,6,0,770.1709636539708,0.11257184730862065,0.40227378130038144,0.5763880181736986,0.0030715535481608642,1.9011402494519751,348.4485571810655,62.478947104775784,36.7156566611481,100
92,85,7,0,0,865.1716600880405,0.1136114290686963,0.033540292627520556,1.816761341704263,0.0,1.134368234107588,344.2908639560783,94.32286815340609,0,92
83,75,7,1,0,723.4135420606465,0.11988886319602574,0.4322197712978144,0.9335964428858755,0.0,1.4754112905958028,381.55093893233226,37.911027096916854,20.11628601987877,83
87,76,5,6,0,780.7618116239096,0.11259456388433428,0.3432879191671828,1.2791630963877565,0.018328606036732482,1.5102619828602033,340.69835293817255,53.689311430956366,63.89260357376736,87
